,preprocess_texts
904,rt  ۷ بیشترین لایکی که توییت تون گرفته چقدر بوده مال من که بیشتر از انگشت‌های دوتا دست نبوده •~•
905,کسی اگه تونست با مجیدی ارتباط برقرار کنه ازش بپرسه چند درصد از باخت دیروز تاثیر عدم حضور پزشک تیم روی نیمکت بود
906,۱۳۳۱   خاک تو سرت جر
907,روحانی ناطق نوری ولایتی و لاریجانی شبیه‌ترین شخصیت‌های سیاسی به همدیگر هستند مثل چهار برادر سال ۷۶ ناطق خواست رییس جمه
908,از دایره‌ی اصلاح طلبها همه اومدن تو میدون فقط آقای هاشمی رفسنجانی بهرمانی ثبت‌نام نکرده
909,۰۰۱ کونی بازیهمگر برای دث متال فن‌ها که اصن بحث شون جداستنهیه مشت کصخل که میخوان باش کص دور خودشون جمع کنن
910,وحیدجون طرف برای مبارزه با فساد از قوه قضاییه اومده قوه مجریه قشنگ نیست
911,واقعا برام سوال شده چرا به هر کی که تا دیروز رگباری ریتوییتت می‌کرد فالوبک میدی دیگه ریتوییتت نمیکنه
912,تنها انتظار من از شورای نگهبان اینه که محسن رضایی رو رد صلاحیت کنه یک‌کم بخندیم  اینو میگم چون کلا شورای نگهبان / / t co / biepwumooa
913,جهانگیری در این انتخابات شایستگان یا نیامدند یا امکان نامزد شدن نداشتند - یعنی الان خودش رو از جرگه شایستگان خارج کرد
914,فقط تا وقتی‌که باید دنبالش بدوی میخوایش؛ وقتی بهش رسیدی تموم میشه واست
915,حالا معلم سوم ابتدایی من یه گولاخ سیبیل کلفت ریشو که وسط سال تحصیلی رفت جبهه سه ماه بعد با کلی ترکش برگش / / t co / ehmnce ۹ mpq
916,rt  ۱۱۷۶  ۴ انتخاب اصلح راه برون‌رفت از مشکلات کنونی است
917,تنها کسی که به مردم اهمیت می‌دهد و درد آنها را می‌فهمد فردی مردمی با ایجاد دولتی مردمی خواهد بود آقامحسن
918,بچه‌ها لطفا بهم رای بدین خواهش می‌کنم 엑소  exo / / t co / ۵ ys ۱ unvsyn
919,مهم بردن لوییه ولی
920,۱ ای بابا ولی بازم خوشحال باش ۸ ماهش رفته فقط یه ماه موندهبعدش سه ماه استراحت
921,آبی پر رنگ
922,rt  ۵۱۹۶۹۳۱۱   ۱۷ این عکسه مینی / / t co / vtttgoiwrx
923,اگه یه بار باد یه تار مو منو ببره بندازه تو یه صحنه جرم بعد فکر کنن من قاتلم چی / / t co / xdsf ۱ vqda ۶
924,مرسی اه این اهش مهمه
925,۱  فاک
926,امروز وقتی اسحاق جهانگیری برای ثبت‌نام انتخابات ریاست جمهوری ۱۴۰۰ به وزارت کشور رفت و آنجا کمی ناله کرد یاد این فیلم
927,موتور بشم‌چرخم میشی
928,عکس صرفا تزیینی است و فاقد هرگونه اعتبار است / / t co / rukcna ۱۹ al
929,rt  ۴۸۸ یک جمله‌ی آرامبخش بهم بگید تا آروم بشم خیلی داغونم
930,rt  ۱۳۷۰ اینجوری که همه اومدنفقط جای  کروبی خالیه
931,۷۵۱۳ اوف درکت میکنمم
932,این صد پدر برعنداز پوریا زراعتی حرامزاده خودشو برای ماله کشیه جنایات اسرائیل هلا / / t co / ufbwbsck ۷۲
933,ی سوال خب من حاضرم برعکس بالا انجام بدن بقیه میتونن
934,الان که فکر می‌کنم من اونقد اعتماد به نفس ندارم که شناسممو بخواین عکس‌دار کنین بیخیال همین شکلی قشنگه شناسامم
935,ما یکی رو به رو خونمونه یکی کوچه کناریهمینقدر زیبا
936,وقتی این توییت سردار را دیدم که منو که خیلی از مذهبی‌ها طردم کرده بودن دختر خودش خطاب کرده خجالت کشیدمو گناه‌های زیادی را ترک
937,ظریف اگر می‌آمد قطعا ریس جمهور بودالبته بدون حضور دکتر
938,مردم ایران یادتان هست دلار ۳ هزار تومانی را به ۳۰ هزار رساندیم برای گره‌گشایی بیشتر آمدم  [با بغض و گریه جهانگیری بخوانید]
939,امروز همه تویی و فردا همه تو  مولانا
940,۲۲۱۳ اونم تو که حساسیت‌های خاص خودت رو داری
941,زندگی کوتاه‌تر از اونیه که نیای منو ببوسی
942,rt  ۱۴ صلی علی‌محمد ص دشمن فساد آمد رئیسی متشکریم
943,جان جانان داره میاد  جلیلی بیا / / t co / nyz ۳ eu ۹ mdc
944,rt  ۲ hgan دیروز با دیدن حرفهای جین و جونگ کوک دلم خیلی گرفت  اینکه اونا برای ما نور امیدن و ما اونقد نتونستیم بهشون این انرژی برگردونیم
945,لاریجانی از حکیم سعدی گفت باید به ایشان یادآوری کرد تا تطاول نپسندی و تکبر نکنیکه خدا را چو تو در ملک بسی جانو / / t co / s ۱ q ۸ xox ۵ oo
946,۱ میدونیآدم زیر ۱۸ باشهولی چهرش و ذهنش بالای ۱۸ باشهنه مثل شما که تازه ۱  / / t co / fomvuhxa ۵ p
947,rt  ۷۲ انتخابات وسیله‌ای برای عزت ملی است رئیسی متشکریم;;;
948,فرمانده‌ای که تا آخرین نفس به فکر ملت و مشکلات آنهاست و از هیچ وقت دست از تلاش بر نمی‌دارد  آقامحسن ایران
949,۰۳۹۵۰۳۲۴  شما خیلی عاقلی که به خودت اجازه میدی با این لحن به ما که مشخصه تو خط رهبری هستیم توهی / / t co / gswzlhwoui
950,وقتی کامل می‌شناسمت و ایمان دارم که اصلح مطلقی تحمل خبر کاندید نشدنت برام مثل تحمل استخوان در گلو و خار در چشمه  جل
951,میتونید به جرم زیرسن قانونی بودن ریپورتم کنید
952,rt  ۸۴ چشمای من وقتی دپرس میشم و خط چشم و ریمل نمی‌زنم / / t co / qor ۶ fs ۷ c ۶ f
953,۱ tvnewsaf متاسفانه غنی در حق مردم افغانستان خیانت می‌کند کسی دوست نداردکه دیگر یک نفر از قاتلین جوانان مان آزاد شود
954,برین کنار صاحبش اومد سلام بر ابراهیم
955,چشماش سرویس دخترای دبیرستانی اکباتان بود و دل من تک پسر رهگذر اونجا
956,از پیج اینستاگرام sol yanim azerbaycan برداشتم ویدیو رو
957,نیستی
958,فقط با انتخاب رئیسی می‌فهمیم که این هشت سال چی رو می‌تونستیم داشته باشیم که خودمون خودمون رو محروم کردیم تاوانشم بدجور
959,روحانی ناطق نوری ولایتی و لاریجانی شبیه‌ترین شخصیت‌های سیاسی به همدیگر هستند مثل چهار برادر سال ۷۶ ناطق خواست رییس جمه
960,۱۳۷۱   فاحشه فاسد مادر جنده جا کش پدر کیر همه عالم تو کس خودتو ننت همه کیرای کلفت گاییدن تورو جلو و عقبت یک / / t co / yi ۳ l ۸ wu ۹ zo
961,۶ خب گفت تحریم میکنه دیگه این دوره
962,rt  ۴ mmd ۲۰ میلیارد دلار سرمایه مردم با تصمیم غلط  جهانگیری پودر شد حالا برای دردهای مردم اشک تمساح می‌ریزدبیا برو عامو
963,بسیاری از کاندیدا خاطرشان محترم و عزیز است ولی نگاه منجی‌گری به عرصه ریاست جمهوری نگاهی غلط است  انتخابات  ۱۴۰۰
964,صل علی‌محمدیاور رهبر آمد  سلام بر ابراهیم رئیسی متشکریم / / t co / jzk ۶ ld ۲۸ ho
965,rt  ۶۰ فقط کافیه با مجموعه‌ی فوق‌العاده‌ی  آزاده اخلاقی با نام «به روایت یک شاهد عینی» مقایسه کنید و ببینید چقدر مجموعه‌ی سعیدپور مص
966,بشاش تو این مملکت
967,حالا اگه بازار مثبت بود همه استوری تحلیل میزاشتن الآن که نیاز به تحلیل داریم همه قایم شدن  کریپتو  بیتکوین  ارز دیجیتال
968,rt  ۰۰۳ تاجزاده  تغییر میزنهطرفداران احمقی نژاد شعار اصلاح‌طلب اصولگرا دیگه تمومه ماجرا میدن شاید هم بخوان با اومدن رئیسی نظارت
969,وقتی از آقا ابراهیم پرسیدن اگه شکست بخوری به ق قضائیه برمیگردی گفته تو مسیر انجام وظیفه شکست وجود نداره  رئیسی متشک
970,تنها فرق بین رئیسی و تاج‌زاده نوع ابزاریه که استفاده میکنن اولی با چاقو سر می‌بره دومی با پنبه تنها یه گوسفند به انتخاب ب
971,گردان‌های قسام اعلام کرد لحظاتی قبل ۱۵ راکت به سمت دیمونا در سرزمین‌های اشغالی شلیک کرده است  القدس اقرب قاسم سلیمانی
972,همه جور دختری هستآن پرستشم هستمدلای دیگشم هست
973,ما در مسائل اقتصادی عقب هستیم که راهکار آن هم شناساندن باکری‌ها و باقری‌هاست  آقامحسن ایران اقدام و تحول محسن رضایی
974,حتی بستن دهان پاسخ دهندگان به اتهام یک خبرنگار اصلاح‌طلب حامی روحانی ۱۹ ثانیه اول از فیلم یک دقیقه‌ای مرا حذف و کل معن
975,زده به سرم همتونو ببرم شمالو دیگه برنگردم دی
976,عید مبارک teamtallalch / / t co / wvprtijkfx
977,rt  ۱ این  شاه نبود که رفت این وطن شرف عزت پیشرفت خنده دموکراسی بهداشت ثروت امنیت هویت آزادی اخلاق آینده صلح سازندگ
978,بهترش وقتی وان نایت استند هست این کارا چیه
979,rt  ۱۱۰ سید خراسانی قدم اول قیام را برداشت ظهور نزدیک است ان‌شاءالله  رئیسی آمد
980,یه طویله خر از این کارآمد تره الان
981,ما راهنمایی بودیم بهمون یاد دادنهمین سن بودیم دیگهالبته ما هم نفهمیدم چی گفت ولی گفت بالاخره یارو
982,یه عده از دختر پسرا برای مستقل شدن یه عالمه سختی میکشن تو دام اعتیاد نمیوفتن نون بازوی خودشونو میخورن زحمت میکشن و به موفق
983,اون‌وقت اگه بهشون بگی «چرا گوشت می‌خوری» خودشون رو با شیر و پلنگ مقایسه می‌کنن که طبیعتمونه
984,rt  ۵ h زندگی دیگه داره بیش از حد خسته‌کننده میشه
985,۵۷  ۱ دزدان هم سحرخیز هستند که گاها حتی شب هم بیدارند
986,آره خیلیحیف من رابط البرز نیستم اون بیمارستان خراب‌شده رو بترکونم
987,استقبال دختر شهید مدافع حرم از آیت‌الله رئیسی در ستاد انتخابات کشور پ ن خدا وکیلی منصف باشیم وقتی آیت ا / / t co / xvxf ۵ gbz ۷ p
988,نیکی میناژ چیکار میکنه پس همش پایین تنه‌س
989,⚜چو دین‌دار کین دارد از پادشامخوان تا توانی ورا پارسابزرگترین مرجع  شهریاری  ایران زمین را میتوان  شاهنامه جاوید / / t co / ypy ۹۹ ioqnz
990,زمان انتخابات ریاست جمهوری اسلامی هواداران ابراهیم رییسی و برداران سپاهی در تدارک ستاد انتخاباتی هستند / / t co / me ۹۴ pxmuhx
991,⭕️ ماجرای کنایه لاریجانی و روحانی به غذای ساده رئیسی+ فیلم✅ واقعا غرور و تکبر لاریجانی و روحانی را در این فیلم می / / t co / h ۰ hcsmnbco
992,چند وقت دیگه نگهش داری عتیقه محسوب میشه
993,۱۲۱ khd گفتم زود بگم تغییر بدین
994,rt  ۶۵۲ سید ما خوش اومدی❤️❤️❤️❤️❤️ رئیسی متشکریم / / t co / vgylzfsyac
995,عای ننهㅠㅠبعدا بازم لاک بزنه / / t co / vgtxwrwq ۸ o
996,یکی از بی جنبه‌ترین آدمای دنیا منم فقط یه هفته تهران بودم و امروز از صب حس می‌کنم از رطوبت رشت دارم خفه میشم
997,دیگه منشن نخونم بهتره استاد
998,۶۸  ایرانی سمت  رمزینکس نرید فقط
999,ایران شبیه روستاهای کشورای پیشرفته هم نیس مدیرای چلمنگ حاکمای دزد کشورمون در حد روستا هم نیس
1000,rt  ۷۷ s کاربر «خرگوشی که لیدر شد» خیلی کراشی  / / t co / ۱ ckg ۸ chgse
1001,مژده دهید باغ را؛ بوی بهار می‌آید رئیسی متشکریم
1002,بیانیه اعلام حضور رئیسی در انتخابات با شناختی که از چالش‌ها ظرفیت‌ها استعدادها و سرمایه‌های این کشور کسب کرده‌ام
1003,mrبسی شایسته است به پاس تلاش‌ها و زحمات مستمر شما در ایجاد ایرانی شاد و اباد متشکر باشیم رئیسی متشکریم / / t co / domc ۸ wluz ۷
1004,اینجانب فرزند ملت بزرگ ایران و سرباز کوچک انقلاب اسلامی به صورت  مستقل به صحنه آمده‌ام و تنها در برابر ذات اقدس الهی و پیشگ
1005,برادران وخواهران ایرانیاما شماحرف با شما همان است که سردار فرمود والله والله والله از مهمترین شئون عاقبت بخیری رابطه ق
1006,باور کنید غول چراغ جادو هم ثبت‌نام کرده
1007,«عبدالناصر همتی» هم به‌صورت مستقل و با رویکرد اقتصادی برای انتخابات ریاست جمهوری ثبت‌نام کرد
1008,rt  ۳۶۷۰۸۲۶۰ مفسدان خوب می‌دانند با ماندن رییسی در قوه قضائیه و روی کار آمدن دولت جوان حزب‌اللهی و ضد فساد توسط کسی مثل  سعید محمد که
1009,چائوشسکو دیکتاتور کمونیست رومانی طالب این بود که جمعیت کشور را زیاد کند و به همین دلیل زنان و مردان کشور را به فرزندآوری
1010,خستم کردی نمی‌کشم دیگه جدی نمی‌کشم—  ┊—  / / t co / zrwtcflqwk
1011,شرمت خصوصیا رسما حجاب سرش گرده نه
1012,rt  ۶۵۱ اولین سلامصبحگاهی تقدیم به ساحت قدسی قطبعالم امکان حضرت صاحب‌الزمان عجالسلام علیک یا بقیه الله یا اباصالح
1013,الهی چوخ شوکوربشیکتاشلیلاری تاپدیم / / t co / zusxtjowoh
1014,اصابت راکت به منطقه مسکونی در شهر رمات گن در مرکز اسرائیل خوشبختانه هیچ خسارت جانی نداشت حماس غیرنظامیان را هدف فرار
1015,پس از سید ممد شیاد شما رو با شیخ حسن کذاب آشنا می‌کنیم / / t co / e ۶ mhv ۹۸ rkr
1016,من زخم دیده بهت توصیه می‌کنه اینکارو نکنی یا حداقل خیلی کوتاه نکنی
1017,بنظر من بود ولی هرچی جمال حشری بگه
1018,۷۳۸۰ پسرم ناراحت نشو من واقعیت رو بهت گفتم تو الان از دید یک فلسطینی شیعه رافضی مجوسی هست که خون تو براش حرومه
1019,ملاک الطنانی دختر ۳ ساله اهل غزه بامداد امروز درحالی‌که در آغوش مادرش خوابیده بود همراه با تمام اعضای خانواده‌اش در بم
1020,شهوت قدرت لجنزاراوج حقارت یک نفر برای بدست آوردن قدرت / / t co / oy ۲ mfoqonk
1021,rt  ۷۰   آره حتی بعضی طرفداراشون میگن کشور دست جاعش بمونه بهتر از اینکه وارد جنگ بشه یا تجزیه بشه
1022,rt  ۷۹ چه کسی باید به روند شعارگرایی در ایران خاتمه دهد آیا وقت دولت اقدام نرسیده است فرهنگ ما اقتصاد ما حتی امنیت ما و
1023,روحانی ناطق نوری ولایتی و لاریجانی شبیه‌ترین شخصیت‌های سیاسی به همدیگر هستند مثل چهار برادر سال ۷۶ ناطق خواست رییس جمه
1024,ماهم حمایتش می‌کنمبچمو بی‌گناه برای یه مرت انداختن بیرون از گروه بمیرن هیتراا
1025,rt  ۷۷۷ خلاصه که جان شما و جان ایران عزیزمان آقا سید رئیسی متشکریم / / t co / lhvrae ۴۹ gu
1026,۱ exmlnn ۳۸۳    ما که بیشتر از جونمیون در جریان همه چی نیستیم وقتی اون بنده خدا خودش ر
1027,rt  ۵۹  ۱۵۳ تا دگر مادر گیتی چو تو فرزند بزاید رئیسی متشکریم
1028,rt  ۳۵۸۴  ۱۵۳ رئیسی خوش اومدی رئیسی متشکریم
1029,۱۹۸۱ خواستم مطمین بشم
1030,۰۷ کد تخفیف میدیم تا آخر هفته / / t co / u ۹ pbdt ۹۰ gw
1031,۷ اکیپ بک دهندگان شعبه دیگری ندارد‍♂️‍♀️⁦ ۲۴ ni⁩✔︎⁦ ۶۸ ⁩✔︎⁦ ۹۰۶۸ ⁩✔︎⁦⁩ / / t co / a ۹ qztqlc ۶ c
1032,۷۸ من این احتمال را می‌دهم که دست آخر این رئیسی است که به نفع سعید محمد کنار خواهد کشید
1033,rt  ۱ ✅ رئیس‌جمهور اصلح▫️باید مومن باشد▫️انقلابی باشد▫️شجاع باشد▫️مدبر باشد▫️کارآمد باشد▫️دارای روحیه جهادی باشد▫️ب
1034,سید محرومان آمد مشکلاتمون فقط به دست خودت حل خواهد شد رئیسی متشکریم
1035,از بیت‌المال ارتزاق کرد قدم از قدم برای مردم برنداشت حالا میگه با اتکا به همت مردم برای مبارزه با فساد آمدهشما در خوشبینا
1036,ان شاالله نمی‌زاریم️ / / t co / br ۰ g ۵ ycbei
1037,rt  ۶۱۰۴ امان ازین روزگارای قلب بیگناه من    / / t co / ۷۰ ez ۴۵ bgfn
1038,دستشون نمیرسه عکس لیس میزنن بچه و بزرگ تو کف
1039,فقط کسایی که یوتوب کار کردن میدونن رسیدن به این عدد چقدر عذاب اور و لذت بخشه یوتوب / / t co / vqdhropzjs
1040,باید شجاعت ناامید شدن داشت و مثل شخصیت‌های کافکایی راه‌های گریز رو جستجو کرد
1041,اگر قرار باشد از بین سه نامزد انقلابی فقط یکی را انتخاب کنید به کدامیک رای می‌دهید لطفا همه  ریتوییت کنید تا نظرات دقیق‌تر ب
1042,بدو بیا بغل عمو
1043,جهانگیری گفته «من با مشکلات کشور آشنا هستم» و قصد دارم تمام مردم با گوشت و خون با این مشکلات آشنا بشن
1044,۶۹۹۰ نمیدونم هدفم از نگه داریش چیه
1045,این‌که فحش‌ه / /
1046,کابوس و خار چشم اصلاح طلبان و مفسدانخوش آمدی   رئیسی متشکریم / / t co / beiafh ۱ d ۶ l
1047,جیگرمونو خون کرد تا بیاد
1048,الله پاک ان پر رحم فرما ان کی حفاظت فرما آمین
1049,rt  ۷۰  ۳۵۸۴ سید محرومان آمد
1050,۲ دقیقا داخل بیانیش به این موضوع اشاره کرده تجربه طولانی اینجانب در سطوح مختلف مدیریتی به روشنی بر م / / t co / nb ۹ nb ۳ xzzm
1051,۸۶  چرا می‌گفتی اونم ثبت‌نام کنه ک ناقص نمونه
1052,rt  ۴ ever نمیدونم انقددرر کار سختیه از چیزی ک خوشتون نمیاد رد شین حتما باید برینین به اعصاب بقیه اقا خوشت نیومده بلاک کن ر
1053,چرا منو مجاب کردی اینو ببینم
1054,یک سال ونیمه که همدیگه رودرآغوش نگرفیم و نبوسیدیم حتی دست ندادیم بهم بعداین زن بیشعور می‌گذاره یکی بچه‌اش روببوسه / / t co / pftpugd ۶ pq
1055,مریم بانو
1056,مشخصا هر اثری منتشر می‌شه یعنی خودش رو در معرض قضاوت قرار داده دیگه اینکه بدیهیه توهین کردن هم متاسفانه / / t co / irj ۴۵۶۹ ope
1057,کونکان
1058,جونگده با تمام وجود عاشقه خوندنه حسی که موقع خوندن منتقل میکنه بی نظیره منتظرم تا برگردی و دوباده قلب همه رو ذوب کنی با صدا
1059,/ / t co / gzfq ۷۷ d ۷ pf برای سیگنال ارزهای دیجیتال کانال تلگرام
1060,ای بابا
1061,ولی جونگده حتی هشتگاشم ارامش داره و حس نسیم ملایم صبح و ک لای موهات می‌وزه میدهchen beautiful goodbye ۲۸۰ m exo  엑소
1062,فرید مدرسی گفته  لاریجانی از فساد برادرش می‌خواهد  طبری بجوید
1063,برجام بهم نخورد مگه بهم خورد
1064,خوش‌خبر باشید دکتر جلیلی خوش اومدین️
1065,rt  ۱۹۶۴  عزالدین قسام ثابت کرد ک مقاومت هرگز نمی‌میرد بعد از سالها امروز قویتر و محکمتر تو دهن اسقاطیل میزنه روز نکیت
1066,اگر قرار باشد از بین سه نامزد انقلابی فقط یکی را انتخاب کنید به کدامیک رای می‌دهید لطفا همه  ریتوییت کنید تا نظرات دقیق‌تر ب
1067,۹۷   ۰۴  ۱۰  چطوری میتونم تو توییتر یه پستو استوری کنم
1068,۲ نمیشه واقعا سر بحث رو باز کرد
1069,ساری
1070,۶۰ چرا قیمه‌ها را می‌ریزی تا ماستا
1071,برو خداروشکر کن باهاش کات کردی منم دقیقا وقتی‌ی روز نبود از نگرانی می‌مردمبعد حالا اون هشت روز / / t co / nxjscyggky
1072,خبر آمد خبری در راه است   جلیلی
1073,rt  ۷۹۸۹  فوریصلی علی‌محمد کاندید اصلح آمد سعید جلیلی / / t co / uwg ۲۱ qgyje
1074,rt  ۱۶۳ به یاری خدا از گندم پاستور نخواهید خورد   رئیسی متشکریم / / t co / ۹ zghushsjd
1075,۵۶  در به در قدرت
1076,ینی اسحاق چی بلد بود که به من یاد نیاد / / t co / slgcfkmlz ۸
1077,اندیشه پویای یک دلقک / / t co / gtzsji ۹ jq ۴
1078,صرفا شوخی بود ببخشید️
1079,دوست دارم خوشگله  chanyeol  찬열  박찬열  엑소찬열  / / t co / j ۴ ecn ۰ pcix
1080,عخخیی  اسرائیل کلا موشکاش هوشمنده زن و بچه میبینه راه کج میکنه فسفر سفید
1081,نصر من الله و فتح قریب حیات طیبه
1082,۱۳۷۵  حداقل برای همه رای اولی‌ها اینطور نیست
1083,میدونم ولی وقتی ویسی ک ازش پخش شد شنیدم گفتم کیرم دهنش اصن خیلی دو رو و لاشیه
1084,کنسرت اهنگ oxygenبزنی تو یوتیوب میاره همون اولن اگاسه نیسم ولی نزدیکه بشم / / t co / dzcdk ۴ blqi
1085,ژاپن فوق العادسفقط تو یک کلمه میشه گفت لنت ب این زندگی
1086,۹۹ زینب پاشا کیه
1087,۶۵ اومد
1088,۹۴۷۲۵۴۹۷  مناظره هم خوبه اما‌ای کاش سایتی بود که این تحقیقات رو مستند ارائه می‌داد پیشنهاد منی ک / / t co / tor ۱ pe ۷۵ jv
1089,اشک تمساح برای تصدی پستی که همیشه گفته‌شده هیچکارس  لاریجانی روحانی است
1090,برای احترام به دادخواهی این ملتی که از نابرابری‌ها و چپاولهای ثروت ملی شون دست نیاز به سوی شما دراز کردندو شما دست یا
1091,آقای آل کثیر آروم‌تردردمون اومد / / t co / xygeduecww
1092,۰۰ چرا /
1093,او اطلاعاتی است
1094,عزیزان  مجلس لاریجانی حامی دولت روحانی بودو دولت لاریجانی قطعا  دولت سوم روحانی است
1095,ولی واقعا اینکه ادما ترسناک‌ترین موجوداتن یه حقیقه  به متنی که نوشتین نگاه کنیدبهش فک کنید چنددور بخونیدش با خودتون
1096,متاسفانه نونای فرنگی ان ولی در کنارش نون تیری هم ادامه کیدمقول میدم
1097,rt  ۵ fgag ۳ tk  رئیسی متشکریم که به صدای این ملت توجه کردید و پا به عرصه میدان گذاشتید
1098,اگر درخیابان با چند نفر هم‌کلام شده باشید مطمئنا متوجه شدید که اکثریت مردم در انتخابات شرکت نخواهند کردپس به جو سازی‌ها توج
1099,خود من رو یک‌بار چون آرایش نداشتم گرفتن بردن ازم تعهد گرفتن بعدم مجبورم کردن زنگ بزنم به خانواده‌م برام لوازم آرایش بیارن ht
1100,یا خدامگه چنتا دوست پسر داری
1101,rt  ۱۹۸۹ حجت‌الاسلام رئیسی بانیان و شرکای وضع موجود نمی‌توانند تغییر دهنده اوضاع باشندهرکس خانه خود را یک ستاد انتخاباتی کندنه
1102,منم هل می‌دید ۲ کا شم توئیت بدین ریت بزنم اینم ریت بزنین
1103,۲ mhmn مهم نیست خیلی
1104,لوبیا پلو با سالاد شیرازی و کوکاکولا ۱۰ / ۱۰ ❤️
1105,rt  ۱۹۹۰ ;;;مشارکت حداکثری مردم در انتخابات نظام را واکسینه می‌کند رئیسی متشکریم
1106,پس دیگ نمیایی مراقب خودت باش
1107,۶۹ برداشت ما این است که فرزندان این سرزمین استعداد لازم را برای کسب موفقیت‌ها دارند  آقامحسن ایران اقد
1108,خدایا اینارو از رو زمینت بردار
1109,۳ چقدر حیوونه کولبرا اگه کولبر شدن واسه اینه که نه شرف فروختن نه ناموس و دستشون به زانوی خودشون / / t co / mavy ۵ obokx
1110,کس نگو من‌ی خییبییلیی برون گرام اما کون ریت رو هم پاره کردم / / / /
1111,rt  ۸۰ نصر من الله و فتح القریب ‌ رئیسی متشکریم / / t co / dk ۶ j ۴۰ xlze
1112,شبکه ۱۳ تلویزیون رژیم صهیونیستی اعلام کرد که حال یک صهیونیست که در حمله موشکی اخیر به تل‌آویو زخمی شده وخیم است / / t co / xloan ۳۸ lnf
1113,من از بیشعوری حمایت نکردم بیشعور تشریح کردم تو چرا به خودت گرفتی مگر بیشعوری یا از آنان حمایت کردی
1114,ماشینی که دزدیده‌شدهجریمه برامون اومدهمیشه پیگیری کرد محدوده رو سرحد آباد نشون داده
1115,۱۴۸۵ exo   میشه بمنم بگین ایشون چی گفتن که یکم ادبم رو بذارم رو طاقچه و خودمو خالی کنم / / t co / iwmbazcaxr
1116,مقاومت اسلامی در غزه از معادله جدیدی پرده‌برداری کرده هر ساختمان در عزه تخریب شود یک ساختمان در اسرائیل تخریب می‌کنیم
1117,۹۷ وای همه ش کثافته افسردگی و وحشی بودن قبلش و دلدررد روزای اولش و سردرد و‌حالت تهوع روزای اخرش اه
1118,خدایی دموکراسی خیلی سرگرم‌کننده است
1119,ظاهرا خاتمی هم داره میاد تو میدون
1120,برای چند ده کودک بی‌سرپرست در حال تهیه این کالاها هستیم اگر دوست دارید کمک کنید تشریف بیارید دایرکت / / t co / oqe
1121,rt  ۹ هرکی دوست پسر یا دوست دختر میخاد منش بده ب هم برسونمتون‍♂️‍♂️
1122,کاندیدای مردمی آمد  / / t co / xsuverczad
1123,این گام گام ساختن  دولت ضدفساد است  رئیسی متشکریم / / t co / mlrkxgatyq
1124,کابوس افسادطلب‌ها  دولت ضدفساد برای مردم / / t co / ajyoeui ۹ ht
1125,چرا حس می‌کنم این کامبک مثل آخرین کامبک گاتسون تو چی وای پی هست واسه همینم اسپیشال البومه exo  엑소
1126,rt  ۱۰ اینکه رئیس قوه‌قضائیه برای مبارزه با فساد و برپایی عدالت می‌خواهد رئیس قوه مجریه بشه هم در نوع خودش پدیده جالبیه که فقط ای
1127,بنظرتون کت‌من کیس پر ملچ ملوچ و ابدار داره میدونم کارم بیشعوریه محظه ولی واقعا دلم میخواد ببینم سهون چجوری یارو رو میبوس
1128,آقای مجری ببینم جرات داری که برگه‌های مصاحبه با رییسی رو هم آخر کار پاره کنی /  سلام بر محمد درود بر رئیسی
1129,این کمی بیشتر از دل به کسی بستن بود
1130,اره دیدی
1131,۹۲۹۰۷۹۰۸ از کودکی میگفتن ما هم شنیدیم
1132,عه این‌که تاحالا ثبتنام نکرده
1133,rt  ۱۱ بیش از پیش باد
1134,بهترینا نصیبت عزیزمخدا یاورت
1135,ایجاد رعب و حمله به شهروندان توسط گروه‌های بنیادگرای اسلامی در سقزسلفی‌ها با چاقو و قمه به شهروندان حمله کرده‌اندهاوری ملک
1136,۲ بله چون در نهایت ب اصل نظام شون اعتقاد دارن
1137,یکی از آهنگای موردعلاقه جین آهنگ the ۱ از تیلور سوئیفتهیه بخش از لیریک آهنگش میگه  تا وقتی زخمی نشی هیچوقت بالغ نمیشی
1138,فک کن توی یه گفتگو طولانی و صدالبته فارسی یهو فقط از to much استفاده کنه خوب الان فقط نمیتونستی از کلمه زیادی استفاده کنی
1139,۱ میشه یه چی بپرسم توی قسمت فلیت یا همون استوری توییتر چجوری استوری بقیه رو ریپلای کنم هر چقدر می‌گردم نیس میشه بگین
1140,ترافیک منتهی به وزارت کشور اونقدر با اومدن کاندیداها زیاد شده که فقط مونده منتظر باباپنجعلی باشیم  منم میام / / t co / ۴ qm ۸۳ lfhpq
1141,۳ / ۳مردم ایران با یک استراتژی واحد و آنهم شرکت نکردن در انتخابات اعتبار و مشروعیت این مهره خامنه‌ای و کل جمهوری اسلامی ر
1142,بله بله بله دیدمم
1143,متجاوزین کودکیشون پدر و مادرشون میشدن
1144,تنها دلیل رفع فیلتر تلگرام تبلیغات انتخاباتی رژیم از این نرم‌افزار است نه به جمهوری اسلامی
1145,rt  ۱ directioniran خب خیلیا به ۵۰ تا رسیدن و بقیه هم دارن میرن بالا نبینم رای ندین ها البته می‌دونم خودتون چقدر وفادار هستین و تلاش
1146,این اوراق تامین مالی هنوز هست که /
1147,یک‌بار یکی تو ناشناسم نگفت چرا انقدر خشنی مرد
1148,rt  ۱۲۴۲۰ جهانگیری موقع ثبت‌نام من با مشکلات کشور آشنامولی ۸ سال معاون اول بودم و هیچ کاری برای حلشون نکردم
