Unnamed: 0,text,preprocess_texts,tokens,tokens_no_stopwords
966,@Shabnam_tt بشاش تو این مملکت,بشاش تو این مملکت,"['بشاش', 'تو', 'این', 'مملکت']","['بشاش', 'مملکت']"
967,"حالا اگه بازار مثبت بود همه استوری تحلیل میزاشتن!
الآن که نیاز به تحلیل داریم همه قایم شدن!
#کریپتو #بيتكوين #ارز_دیجیتال",حالا اگه بازار مثبت بود همه استوری تحلیل میزاشتنالآن که نیاز به تحلیل داریم همه قایم شدن کریپتو  بيتكوين  ارز دیجیتال,"['حالا', 'اگه', 'بازار', 'مثبت', 'بود', 'همه', 'استوری', 'تحلیل', 'میزاشتنالآن', 'که', 'نیاز', 'به', 'تحلیل', 'داریم', 'همه', 'قایم', 'شدن', 'کریپتو', 'بيتكوين', 'ارز', 'دیجیتال']","['اگه', 'بازار', 'مثبت', 'استوری', 'تحلیل', 'میزاشتنالآن', 'تحلیل', 'قایم', 'کریپتو', 'بيتكوين', 'ارز', 'دیجیتال']"
968,"RT @ARDESHIR003: تاجزاده #تغییر میزنه
طرفداران احمقی نژاد شعار اصلاح طلب اصولگرا دیگه تمومه ماجرا میدن!
شاید هم بخوان با اومدن رئیسی نظارت…",تاجزاده  تغییر میزنهطرفداران احمقی نژاد شعار اصلاح طلب اصولگرا دیگه تمومه ماجرا میدنشاید هم بخوان با اومدن رئیسی نظارت,"['تاجزاده', 'تغییر', 'میزنهطرفداران', 'احمقی', 'نژاد', 'شعار', 'اصلاح', 'طلب', 'اصولگرا', 'دیگه', 'تمومه', 'ماجرا', 'میدنشاید', 'هم', 'بخوان', 'با', 'اومدن', 'رئیسی', 'نظارت']","['تاجزاده', 'میزنهطرفداران', 'احمقی', 'نژاد', 'شعار', 'اصلاح', 'طلب', 'اصولگرا', 'دیگه', 'تمومه', 'ماجرا', 'میدنشاید', 'بخوان', 'اومدن', 'رئیسی', 'نظارت']"
969,"RT @Ostad_Belgheys: وقتی از آقا ابراهیم پرسیدن اگه شکست بخوری به ق.قضائیه برمیگردی؟
گفته تو مسیر انجام وظیفه شکست وجود نداره!!😊
#رئیسی_متشک…",وقتی از آقا ابراهیم پرسیدن اگه شکست بخوری به ققضائیه برمیگردیگفته تو مسیر انجام وظیفه شکست وجود نداره رئیسی متشک,"['وقتی', 'از', 'آقا', 'ابراهیم', 'پرسیدن', 'اگه', 'شکست', 'بخوری', 'به', 'ققضائیه', 'برمیگردیگفته', 'تو', 'مسیر', 'انجام', 'وظیفه', 'شکست', 'وجود', 'نداره', 'رئیسی', 'متشک']","['آقا', 'ابراهیم', 'پرسیدن', 'اگه', 'شکست', 'بخوری', 'ققضائیه', 'برمیگردیگفته', 'مسیر', 'انجام', 'وظیفه', 'شکست', 'نداره', 'رئیسی', 'متشک']"
970,"RT @Mimalamjz: تنها فرق بین رئیسی و تاج‌زاده نوع ابزاریه که استفاده میکنن، اولی با چاقو سر می‌بره دومی با پنبه. 
تنها یه گوسفند به انتخاب ب…",تنها فرق بین رئیسی و تاجزاده نوع ابزاریه که استفاده میکنن اولی با چاقو سر میبره دومی با پنبه تنها یه گوسفند به انتخاب ب,"['تنها', 'فرق', 'بین', 'رئیسی', 'و', 'تاجزاده', 'نوع', 'ابزاریه', 'که', 'استفاده', 'میکنن', 'اولی', 'با', 'چاقو', 'سر', 'میبره', 'دومی', 'با', 'پنبه', 'تنها', 'یه', 'گوسفند', 'به', 'انتخاب', 'ب']","['فرق', 'رئیسی', 'تاجزاده', 'ابزاریه', 'استفاده', 'میکنن', 'اولی', 'چاقو', 'سر', 'میبره', 'دومی', 'پنبه', 'یه', 'گوسفند', 'انتخاب', 'ب']"
971,"RT @fmahdipour: گردان‌های قسام اعلام کرد: لحظاتی قبل 15 راکت به سمت دیمونا در سرزمین‌های اشغالی شلیک کرده است.

#القدس_اقرب 
#قاسم_سلیمانی…",گردانهای قسام اعلام کرد لحظاتی قبل 15 راکت به سمت دیمونا در سرزمینهای اشغالی شلیک کرده است القدس اقرب  قاسم سلیمانی,"['گردانهای', 'قسام', 'اعلام', 'کرد', 'لحظاتی', 'قبل', '15', 'راکت', 'به', 'سمت', 'دیمونا', 'در', 'سرزمینهای', 'اشغالی', 'شلیک', 'کرده_است', 'القدس', 'اقرب', 'قاسم', 'سلیمانی']","['گردانهای', 'قسام', 'اعلام', 'لحظاتی', '15', 'راکت', 'دیمونا', 'سرزمینهای', 'اشغالی', 'شلیک', 'القدس', 'اقرب', 'قاسم', 'سلیمانی']"
972,"@zahrabhdi همه جور دختری هست 
آن پرستشم هست 
مدلای دیگشم هست",همه جور دختری هست آن پرستشم هست مدلای دیگشم هست,"['همه', 'جور', 'دختری', 'هست', 'آن', 'پرستشم', 'هست', 'مدلای', 'دیگشم', 'هست']","['جور', 'دختری', 'هست', 'پرستشم', 'هست', 'مدلای', 'دیگشم', 'هست']"
973,"@Abdol_Abdollahi ما در مسائل اقتصادی عقب هستیم که راهکار آن هم شناساندن باکری‌ها و باقری‌هاست.
#آقامحسن_ایران 
#اقدام_و_تحول 
#محسن_رضایی",ما در مسائل اقتصادی عقب هستیم که راهکار آن هم شناساندن باکریها و باقریهاست آقامحسن ایران  اقدام و تحول  محسن رضایی,"['ما', 'در', 'مسائل', 'اقتصادی', 'عقب', 'هستیم', 'که', 'راهکار', 'آن', 'هم', 'شناساندن', 'باکریها', 'و', 'باقریهاست', 'آقامحسن', 'ایران', 'اقدام', 'و', 'تحول', 'محسن', 'رضایی']","['مسائل', 'اقتصادی', 'عقب', 'راهکار', 'شناساندن', 'باکریها', 'باقریهاست', 'آقامحسن', 'ایران', 'اقدام', 'تحول', 'محسن', 'رضایی']"
974,"RT @malekshariati: حتی بستن دهان پاسخ دهندگان به اتهام:
 یک خبرنگار اصلاح طلب حامی روحانی، ۱۹ثانیه اول از فیلم یک دقیقه ای مرا حذف و کل معن…",حتی بستن دهان پاسخ دهندگان به اتهام یک خبرنگار اصلاح طلب حامی روحانی ۱۹ثانیه اول از فیلم یک دقیقه ای مرا حذف و کل معن,"['حتی', 'بستن', 'دهان', 'پاسخ', 'دهندگان', 'به', 'اتهام', 'یک', 'خبرنگار', 'اصلاح', 'طلب', 'حامی', 'روحانی', '۱۹', 'ثانیه', 'اول', 'از', 'فیلم', 'یک', 'دقیقه', 'ای', 'مرا', 'حذف', 'و', 'کل', 'معن']","['بستن', 'دهان', 'پاسخ', 'دهندگان', 'اتهام', 'خبرنگار', 'اصلاح', 'طلب', 'حامی', 'روحانی', '۱۹', 'ثانیه', 'فیلم', 'دقیقه', 'ای', 'مرا', 'حذف', 'معن']"
975,زده به سرم همتونو ببرم شمالو ديگه برنگردم :دى,زده به سرم همتونو ببرم شمالو ديگه برنگردم دى,"['زده', 'به', 'سرم', 'همتونو', 'ببرم', 'شمالو', 'ديگه', 'برنگردم', 'دى']","['زده', 'سرم', 'همتونو', 'ببرم', 'شمالو', 'ديگه', 'برنگردم', 'دى']"
976,"RT @basharat_pmln: عید  مبارک 
#TeamTallalch https://t.co/WVPrTijKfx",عید مبارک  teamtallalch,"['عید', 'مبارک', 'teamtallalch']","['عید', 'مبارک', 'teamtallalch']"
977,"RT @Jelebeh1: این #شاه نبود که رفت..
این وطن، شرف، عزت، پیشرفت، خنده، دموکراسی، بهداشت، ثروت، امنیت، هویت، آزادی، اخلاق، آینده، صلح، سازندگ…",این  شاه نبود که رفتاین وطن شرف عزت پیشرفت خنده دموکراسی بهداشت ثروت امنیت هویت آزادی اخلاق آینده صلح سازندگ,"['این', 'شاه', 'نبود', 'که', 'رفتاین', 'وطن', 'شرف', 'عزت', 'پیشرفت', 'خنده', 'دموکراسی', 'بهداشت', 'ثروت', 'امنیت', 'هویت', 'آزادی', 'اخلاق', 'آینده', 'صلح', 'سازندگ']","['شاه', 'رفتاین', 'وطن', 'شرف', 'عزت', 'پیشرفت', 'خنده', 'دموکراسی', 'بهداشت', 'ثروت', 'امنیت', 'هویت', 'آزادی', 'اخلاق', 'آینده', 'صلح', 'سازندگ']"
978,@bahareehhh بهترش وقتی وان نایت استند هست این کارا چیه,بهترش وقتی وان نایت استند هست این کارا چیه,"['بهترش', 'وقتی', 'وان', 'نایت', 'استند', 'هست', 'این', 'کارا', 'چیه']","['بهترش', 'وان', 'نایت', 'استند', 'هست', 'کارا', 'چیه']"
979,"RT @SoldierAmir110: سید خراسانی قدم اول قیام را برداشت...
ظهور نزدیک است ان‌شاءالله ✌🏻
#رئيسی_آمد",سید خراسانی قدم اول قیام را برداشتظهور نزدیک است انشاءالله ✌ رئيسی آمد,"['سید', 'خراسانی', 'قدم', 'اول', 'قیام', 'را', 'برداشتظهور', 'نزدیک', 'است', 'انشاءالله', '✌', 'رئيسی', 'آمد']","['سید', 'خراسانی', 'قدم', 'قیام', 'برداشتظهور', 'انشاءالله', '✌', 'رئيسی']"
980,@shahrvand_m @Maaryaamaam یه طویله خر از این کارآمد تره الان,یه طویله خر از این کارآمد تره الان,"['یه', 'طویله', 'خر', 'از', 'این', 'کارآمد', 'تره', 'الان']","['یه', 'طویله', 'خر', 'کارآمد', 'تره', 'الان']"
981,"@ghazighozatwit ما راهنمایی بودیم بهمون یاد دادن
همین سن بودیم دیگه
البته ما هم نفهمیدم چی گفت ولی گفت بالاخره یارو",ما راهنمایی بودیم بهمون یاد دادنهمین سن بودیم دیگهالبته ما هم نفهمیدم چی گفت ولی گفت بالاخره یارو,"['ما', 'راهنمایی', 'بودیم', 'بهمون', 'یاد', 'دادنهمین', 'سن', 'بودیم', 'دیگهالبته', 'ما', 'هم', 'نفهمیدم', 'چی', 'گفت', 'ولی', 'گفت', 'بالاخره', 'یارو']","['راهنمایی', 'بودیم', 'بهمون', 'یاد', 'دادنهمین', 'سن', 'بودیم', 'دیگهالبته', 'نفهمیدم', 'چی', 'بالاخره', 'یارو']"
982,RT @famil_goriz: یه عده از دختر پسرا برای مستقل شدن یه عالمه سختی میکشن تو دام اعتیاد نمیوفتن نون بازوی خودشونو میخورن زحمت میکشن و به موفق…,یه عده از دختر پسرا برای مستقل شدن یه عالمه سختی میکشن تو دام اعتیاد نمیوفتن نون بازوی خودشونو میخورن زحمت میکشن و به موفق,"['یه', 'عده', 'از', 'دختر', 'پسرا', 'برای', 'مستقل', 'شدن', 'یه', 'عالمه', 'سختی', 'میکشن', 'تو', 'دام', 'اعتیاد', 'نمیوفتن', 'نون', 'بازوی', 'خودشونو', 'میخورن', 'زحمت', 'میکشن', 'و', 'به', 'موفق']","['یه', 'عده', 'دختر', 'پسرا', 'مستقل', 'یه', 'عالمه', 'سختی', 'میکشن', 'دام', 'اعتیاد', 'نمیوفتن', 'نون', 'بازوی', 'خودشونو', 'میخورن', 'زحمت', 'میکشن', 'موفق']"
983,"@hwtfq اون‌‌وقت اگه بهشون بگی ""چرا گوشت می‌خوری؟""، خودشون رو با شیر و پلنگ مقایسه می‌کنن که طبیعتمونه =)))))",اونوقت اگه بهشون بگی چرا گوشت میخوری خودشون رو با شیر و پلنگ مقایسه میکنن که طبیعتمونه,"['اونوقت', 'اگه', 'بهشون', 'بگی', 'چرا', 'گوشت', 'میخوری', 'خودشون', 'رو', 'با', 'شیر', 'و', 'پلنگ', 'مقایسه', 'میکنن', 'که', 'طبیعتمونه']","['اونوقت', 'اگه', 'بهشون', 'بگی', 'گوشت', 'میخوری', 'خودشون', 'شیر', 'پلنگ', 'مقایسه', 'میکنن', 'طبیعتمونه']"
984,RT @khashayar5h: زندگی دیگه داره بیش از حد خسته کننده میشه,زندگی دیگه داره بیش از حد خسته کننده میشه,"['زندگی', 'دیگه', 'داره', 'بیش', 'از', 'حد', 'خسته', 'کننده', 'میشه']","['زندگی', 'دیگه', 'داره', 'خسته', 'میشه']"
985,@eghbali57 @hesamodin1 دزدان هم سحرخیز هستند که گاها حتی شب هم بیدارند ...,دزدان هم سحرخیز هستند که گاها حتی شب هم بیدارند,"['دزدان', 'هم', 'سحرخیز', 'هستند', 'که', 'گاها', 'حتی', 'شب', 'هم', 'بیدارند']","['دزدان', 'سحرخیز', 'گاها', 'شب', 'بیدارند']"
986,"@GsFaridz آره خیلی😂
حیف من رابط البرز نیستم اون بیمارستان خراب شده رو بترکونم😂",آره خیلیحیف من رابط البرز نیستم اون بیمارستان خراب شده رو بترکونم,"['آره', 'خیلیحیف', 'من', 'رابط', 'البرز', 'نیستم', 'اون', 'بیمارستان', 'خراب', 'شده', 'رو', 'بترکونم']","['آره', 'خیلیحیف', 'رابط', 'البرز', 'نیستم', 'اون', 'بیمارستان', 'خراب', 'بترکونم']"
987,"🌹 استقبال دختر شهید مدافع حرم از آیت الله رئیسی، در ستاد انتخابات کشور ...

پ ن : خدا وکیلی منصف باشیم ، وقتی آیت ا… https://t.co/xVxF5Gbz7P",استقبال دختر شهید مدافع حرم از آیت الله رئیسی در ستاد انتخابات کشور پ ن  خدا وکیلی منصف باشیم  وقتی آیت ا,"['استقبال', 'دختر', 'شهید', 'مدافع', 'حرم', 'از', 'آیت', 'الله', 'رئیسی', 'در', 'ستاد', 'انتخابات', 'کشور', 'پ', 'ن', 'خدا', 'وکیلی', 'منصف', 'باشیم', 'وقتی', 'آیت', 'ا']","['استقبال', 'دختر', 'شهید', 'مدافع', 'حرم', 'آیت', 'الله', 'رئیسی', 'ستاد', 'انتخابات', 'کشور', 'پ', 'ن', 'خدا', 'وکیلی', 'منصف', 'باشیم', 'آیت', 'ا']"
988,@triceratopsll نیکی میناژ چیکار میکنه پس همش پایین تنه‌س,نیکی میناژ چیکار میکنه پس همش پایین تنهس,"['نیکی', 'میناژ', 'چیکار', 'میکنه', 'پس', 'همش', 'پایین', 'تنهس']","['نیکی', 'میناژ', 'چیکار', 'میکنه', 'همش', 'پایین', 'تنهس']"
989,"⚜چو دین‌دار کین دارد از پادشا
مخوان تا توانی ورا پارسا

بزرگترین مرجع #شهریاری #ایران زمین را میتوان #شاهنامه جاوید… https://t.co/ypY99iOqnz",⚜چو دیندار کین دارد از پادشامخوان تا توانی ورا پارسابزرگترین مرجع  شهریاری  ایران زمین را میتوان  شاهنامه جاوید,"['⚜چو', 'دیندار', 'کین', 'دارد', 'از', 'پادشامخوان', 'تا', 'توانی', 'ورا', 'پارسابزرگترین', 'مرجع', 'شهریاری', 'ایران', 'زمین', 'را', 'میتوان', 'شاهنامه', 'جاوید']","['⚜چو', 'دیندار', 'کین', 'پادشامخوان', 'توانی', 'ورا', 'پارسابزرگترین', 'مرجع', 'شهریاری', 'ایران', 'زمین', 'میتوان', 'شاهنامه', 'جاوید']"
990,زمان انتخابات ریاست جمهوری اسلامی هواداران ابراهیم رییسی و برداران سپاهی در تدارک ستاد انتخاباتی هستند https://t.co/ME94pXMuHx,زمان انتخابات ریاست جمهوری اسلامی هواداران ابراهیم رییسی و برداران سپاهی در تدارک ستاد انتخاباتی هستند,"['زمان', 'انتخابات', 'ریاست', 'جمهوری', 'اسلامی', 'هواداران', 'ابراهیم', 'رییسی', 'و', 'برداران', 'سپاهی', 'در', 'تدارک', 'ستاد', 'انتخاباتی', 'هستند']","['زمان', 'انتخابات', 'ریاست', 'جمهوری', 'اسلامی', 'هواداران', 'ابراهیم', 'رییسی', 'برداران', 'سپاهی', 'تدارک', 'ستاد', 'انتخاباتی']"
991,"⭕️ ماجرای کنایه لاریجانی و روحانی به غذای ساده رئیسی+ فیلم
✅ واقعا غرور و تکبر لاریجانی و روحانی را در این فیلم می‌… https://t.co/H0HCsmnBCo",⭕️ ماجرای کنایه لاریجانی و روحانی به غذای ساده رئیسی+ فیلم✅ واقعا غرور و تکبر لاریجانی و روحانی را در این فیلم می,"['⭕️', 'ماجرای', 'کنایه', 'لاریجانی', 'و', 'روحانی', 'به', 'غذای', 'ساده', 'رئیسی+', 'فیلم✅', 'واقعا', 'غرور', 'و', 'تکبر', 'لاریجانی', 'و', 'روحانی', 'را', 'در', 'این', 'فیلم', 'می']","['⭕️', 'ماجرای', 'کنایه', 'لاریجانی', 'روحانی', 'غذای', 'ساده', 'رئیسی+', 'فیلم✅', 'واقعا', 'غرور', 'تکبر', 'لاریجانی', 'روحانی', 'فیلم']"
992,@Daei_ALii چند وقت دیگه نگهش داری عتیقه محسوب میشه😂,چند وقت دیگه نگهش داری عتیقه محسوب میشه,"['چند', 'وقت', 'دیگه', 'نگهش', 'داری', 'عتیقه', 'محسوب', 'میشه']","['وقت', 'دیگه', 'نگهش', 'داری', 'عتیقه', 'میشه']"
993,@121khd گفتم زود بگم تغییر بدین,گفتم زود بگم تغییر بدین,"['گفتم', 'زود', 'بگم', 'تغییر', 'بدین']","['گفتم', 'زود', 'بگم', 'بدین']"
994,"RT @samaneh652: 🌹سید ما خوش اومدی😍😍😍❤️❤️❤️❤️❤️
#رئیسی_متشکریم https://t.co/vGyLzfSYac",سید ما خوش اومدی❤️❤️❤️❤️❤️ رئیسی متشکریم,"['سید', 'ما', 'خوش', 'اومدی❤️❤️❤️❤️❤️', 'رئیسی', 'متشکریم']","['سید', 'خوش', 'اومدی❤️❤️❤️❤️❤️', 'رئیسی', 'متشکریم']"
995,"RT @luvly_skz: عای ننهㅠㅠ
🕯بعدا بازم لاک بزنه🕯
@Stray_Kids https://t.co/VgTxWRwq8O",عای ننهㅠㅠبعدا بازم لاک بزنه,"['عای', 'ننهㅠㅠبعدا', 'بازم', 'لاک', 'بزنه']","['عای', 'ننهㅠㅠبعدا', 'بازم', 'لاک', 'بزنه']"
996,یکی از بی جنبه ترین آدمای دنیا منم :))  فقط یه هفته تهران بودم و‌ امروز از صب حس میکنم از رطوبت رشت دارم خفه میشم :)),یکی از بی جنبه ترین آدمای دنیا منم  فقط یه هفته تهران بودم و امروز از صب حس میکنم از رطوبت رشت دارم خفه میشم,"['یکی', 'از', 'بی', 'جنبه', 'ترین', 'آدمای', 'دنیا', 'منم', 'فقط', 'یه', 'هفته', 'تهران', 'بودم', 'و', 'امروز', 'از', 'صب', 'حس', 'میکنم', 'از', 'رطوبت', 'رشت', 'دارم', 'خفه', 'میشم']","['جنبه', 'ترین', 'آدمای', 'دنیا', 'منم', 'یه', 'هفته', 'تهران', 'بودم', 'امروز', 'صب', 'حس', 'میکنم', 'رطوبت', 'رشت', 'دارم', 'خفه', 'میشم']"
997,@ramin_rasaei دیگه منشن نخونم بهتره استاد 😐😐😂😂,دیگه منشن نخونم بهتره استاد,"['دیگه', 'منشن', 'نخونم', 'بهتره', 'استاد']","['دیگه', 'منشن', 'نخونم', 'بهتره', 'استاد']"
998,@Ayubghaderi68 @ali_ahmadnia ایرانی سمت #رمزینکس نرید فقط ...,ایرانی سمت  رمزینکس نرید فقط,"['ایرانی', 'سمت', 'رمزینکس', 'نرید', 'فقط']","['ایرانی', 'رمزینکس', 'نرید']"
999,"ایران شبیه روستاهای کشورای پیشرفته هم نیس.
مدیرای چلمنگ حاکمای دزد کشورمون در حد روستا هم نیس .",ایران شبیه روستاهای کشورای پیشرفته هم نیسمدیرای چلمنگ حاکمای دزد کشورمون در حد روستا هم نیس,"['ایران', 'شبیه', 'روستاهای', 'کشورای', 'پیشرفته', 'هم', 'نیسمدیرای', 'چلمنگ', 'حاکمای', 'دزد', 'کشورمون', 'در', 'حد', 'روستا', 'هم', 'نیس']","['ایران', 'شبیه', 'روستاهای', 'کشورای', 'پیشرفته', 'نیسمدیرای', 'چلمنگ', 'حاکمای', 'دزد', 'کشورمون', 'روستا', 'نیس']"
1000,"RT @Luhani77S: کاربر "" خرگوشی که لیدر شد"" خیلی کراشی.
@weareoneEXO https://t.co/1ckG8CHGsE",کاربر  خرگوشی که لیدر شد خیلی کراشی,"['کاربر', 'خرگوشی', 'که', 'لیدر', 'شد', 'خیلی', 'کراشی']","['کاربر', 'خرگوشی', 'لیدر', 'کراشی']"
1001,"مژده دهید باغ را ؛بوی بهار می آید
#رئیسی_متشکریم",مژده دهید باغ را ؛بوی بهار می آید رئیسی متشکریم,"['مژده', 'دهید', 'باغ', 'را', '؛', 'بوی', 'بهار', 'می', 'آید', 'رئیسی', 'متشکریم']","['مژده', 'دهید', 'باغ', '؛', 'بوی', 'بهار', 'آید', 'رئیسی', 'متشکریم']"
1002,RT @FarsNews_Agency: 🔴بیانیه اعلام حضور رئیسی در انتخابات: با شناختی که از چالش‌ها، ظرفیت‌ها، استعدادها و سرمایه‌های این کشور کسب کرده‌ام،…,بیانیه اعلام حضور رئیسی در انتخابات با شناختی که از چالشها ظرفیتها استعدادها و سرمایههای این کشور کسب کردهام,"['بیانیه', 'اعلام', 'حضور', 'رئیسی', 'در', 'انتخابات', 'با', 'شناختی', 'که', 'از', 'چالشها', 'ظرفیتها', 'استعدادها', 'و', 'سرمایههای', 'این', 'کشور', 'کسب', 'کردهام']","['بیانیه', 'اعلام', 'حضور', 'رئیسی', 'انتخابات', 'شناختی', 'چالشها', 'ظرفیتها', 'استعدادها', 'سرمایههای', 'کشور', 'کسب', 'کردهام']"
1003,"Mr
بسی شایسته است به پاس تلاش‌ها و زحمات مستمر شما در ایجاد ایرانی شاد و اباد متشکر باشیم 
#رئیسی_متشکریم https://t.co/Domc8wLUz7",mrبسی شایسته است به پاس تلاشها و زحمات مستمر شما در ایجاد ایرانی شاد و اباد متشکر باشیم  رئیسی متشکریم,"['mrبسی', 'شایسته_است', 'به', 'پاس', 'تلاشها', 'و', 'زحمات', 'مستمر', 'شما\xa0در', 'ایجاد', 'ایرانی', 'شاد', 'و', 'اباد', 'متشکر', 'باشیم', 'رئیسی', 'متشکریم']","['mrبسی', 'شایسته_است', 'پاس', 'تلاشها', 'زحمات', 'مستمر', 'شما\xa0در', 'ایجاد', 'ایرانی', 'شاد', 'اباد', 'متشکر', 'باشیم', 'رئیسی', 'متشکریم']"
1004,RT @raesi_org: اینجانب فرزند ملت بزرگ ایران و سرباز کوچک انقلاب اسلامی، به صورت #مستقل به صحنه آمده‌ام و تنها در برابر ذات اقدس الهی و پیشگ…,اینجانب فرزند ملت بزرگ ایران و سرباز کوچک انقلاب اسلامی به صورت  مستقل به صحنه آمدهام و تنها در برابر ذات اقدس الهی و پیشگ,"['اینجانب', 'فرزند', 'ملت', 'بزرگ', 'ایران', 'و', 'سرباز', 'کوچک', 'انقلاب', 'اسلامی', 'به', 'صورت', 'مستقل', 'به', 'صحنه', 'آمدهام', 'و', 'تنها', 'در', 'برابر', 'ذات', 'اقدس', 'الهی', 'و', 'پیشگ']","['اینجانب', 'فرزند', 'ملت', 'ایران', 'سرباز', 'انقلاب', 'اسلامی', 'صورت', 'مستقل', 'صحنه', 'آمدهام', 'ذات', 'اقدس', 'الهی', 'پیشگ']"
1005,"RT @kebretahmar: برادران وخواهران ایرانی 
اما شما
حرف با شما همان است که سردار فرمود:
والله والله والله از مهمترین شئون عاقبت بخیری رابطه ق…",برادران وخواهران ایرانی اما شماحرف با شما همان است که سردار فرمودوالله والله والله از مهمترین شئون عاقبت بخیری رابطه ق,"['برادران', 'وخواهران', 'ایرانی', 'اما', 'شماحرف', 'با', 'شما', 'همان', 'است', 'که', 'سردار', 'فرمودوالله', 'والله', 'والله', 'از', 'مهمترین', 'شئون', 'عاقبت', 'بخیری', 'رابطه', 'ق']","['برادران', 'وخواهران', 'ایرانی', 'شماحرف', 'سردار', 'فرمودوالله', 'والله', 'والله', 'مهمترین', 'شئون', 'عاقبت', 'بخیری', 'رابطه', 'ق']"
1006,باور کنید غول چراغ جادو هم ثبت‌نام کرده.,باور کنید غول چراغ جادو هم ثبتنام کرده,"['باور', 'کنید', 'غول', 'چراغ', 'جادو', 'هم', 'ثبتنام', 'کرده']","['باور', 'غول', 'چراغ', 'جادو', 'ثبتنام']"
1007,"RT @ali__politics: ""عبدالناصر همتی"" هم به‌صورت مستقل و با رویکرد اقتصادی برای انتخابات ریاست جمهوری ثبت‌نام کرد.",عبدالناصر همتی هم بهصورت مستقل و با رویکرد اقتصادی برای انتخابات ریاست جمهوری ثبتنام کرد,"['عبدالناصر', 'همتی', 'هم', 'بهصورت', 'مستقل', 'و', 'با', 'رویکرد', 'اقتصادی', 'برای', 'انتخابات', 'ریاست', 'جمهوری', 'ثبتنام', 'کرد']","['عبدالناصر', 'همتی', 'بهصورت', 'مستقل', 'رویکرد', 'اقتصادی', 'انتخابات', 'ریاست', 'جمهوری', 'ثبتنام']"
1008,RT @Rebel36708260: مفسدان خوب می‌دانند با ماندن رییسی در قوه قضائیه و روی کار آمدن دولت جوان حزب‌اللهی و ضد فساد توسط کسی مثل #سعید_محمد که…,مفسدان خوب میدانند با ماندن رییسی در قوه قضائیه و روی کار آمدن دولت جوان حزباللهی و ضد فساد توسط کسی مثل  سعید محمد که,"['مفسدان', 'خوب', 'میدانند', 'با', 'ماندن', 'رییسی', 'در', 'قوه', 'قضائیه', 'و', 'روی', 'کار', 'آمدن', 'دولت', 'جوان', 'حزباللهی', 'و', 'ضد', 'فساد', 'توسط', 'کسی', 'مثل', 'سعید', 'محمد', 'که']","['مفسدان', 'میدانند', 'ماندن', 'رییسی', 'قوه', 'قضائیه', 'کار', 'آمدن', 'دولت', 'جوان', 'حزباللهی', 'ضد', 'فساد', 'توسط', 'سعید', 'محمد']"
1009,RT @mohammadaleph: چائوشسکو دیکتاتور کمونیست رومانی طالب این بود که جمعیت کشور را زیاد کند و به همین دلیل زنان و مردان کشور را به فرزندآوری…,چائوشسکو دیکتاتور کمونیست رومانی طالب این بود که جمعیت کشور را زیاد کند و به همین دلیل زنان و مردان کشور را به فرزندآوری,"['چائوشسکو', 'دیکتاتور', 'کمونیست', 'رومانی', 'طالب', 'این', 'بود', 'که', 'جمعیت', 'کشور', 'را', 'زیاد', 'کند', 'و', 'به', 'همین', 'دلیل', 'زنان', 'و', 'مردان', 'کشور', 'را', 'به', 'فرزندآوری']","['چائوشسکو', 'دیکتاتور', 'کمونیست', 'رومانی', 'طالب', 'جمعیت', 'کشور', 'دلیل', 'زنان', 'مردان', 'کشور', 'فرزندآوری']"
1010,"خستم کردی :) نمیکشم دیگه جدی نمیکشم 

— @Stray_Kids ┊— @ATEEZofficial https://t.co/ZRWtcFLqWk",خستم کردی  نمیکشم دیگه جدی نمیکشم —  ┊—,"['خستم', 'کردی', 'نمیکشم', 'دیگه', 'جدی', 'نمیکشم', '—', '┊—']","['خستم', 'کردی', 'نمیکشم', 'دیگه', 'نمیکشم', '—', '┊—']"
1011,شرمت خصوصیا رسما حجاب سرش گرده نه؟,شرمت خصوصیا رسما حجاب سرش گرده نه,"['شرمت', 'خصوصیا', 'رسما', 'حجاب', 'سرش', 'گرده', 'نه']","['شرمت', 'خصوصیا', 'رسما', 'حجاب', 'سرش', 'گرده']"
1012,"RT @samaneh651: اولین سلام

صبحگاهی تقدیم به ساحت قدسی قطب
عالم امکان،حضرت صاحب الزّمان عج🌺🌺🌺🌺

اَلسّلامُ عَلیکَ یا بقیَّه اللهِ یا اباصالح…",اولین سلامصبحگاهی تقدیم به ساحت قدسی قطبعالم امکانحضرت صاحب الزّمان عجاَلسّلامُ عَلیکَ یا بقیَّه اللهِ یا اباصالح,"['اولین', 'سلامصبحگاهی', 'تقدیم', 'به', 'ساحت', 'قدسی', 'قطبعالم', 'امکانحضرت', 'صاحب', 'الزّمان', 'عجاَلسّلامُ', 'عَلیکَ', 'یا', 'بقیَّه', 'اللهِ', 'یا', 'اباصالح']","['سلامصبحگاهی', 'تقدیم', 'ساحت', 'قدسی', 'قطبعالم', 'امکانحضرت', 'صاحب', 'الزّمان', 'عجاَلسّلامُ', 'عَلیکَ', 'بقیَّه', 'اللهِ', 'اباصالح']"
